ident8;begin.positie;begin.opschrift;begin.afstand;eind.positie;eind.opschrift;eind.afstand;gebied
N0060001;5.654;5.7;-77;18.66;18.6;79;Agentschap Wegen en Verkeer - AWV211
N0070001;0;0;-5;4.186;4.1;80;Agentschap Wegen en Verkeer - AWV211
N0080001;0;3.8;-3803;3.795;3.8;-8;Brussels Gewest - Brussels Gewest
N0080001;3.795;3.8;-8;19.069;19.1;-39;Agentschap Wegen en Verkeer - AWV211
N0080001;19.069;19.1;-39;30.411;30.4;22;Agentschap Wegen en Verkeer - AWV415
N0080001;30.411;30.4;22;31.56;31.6;-40;Agentschap Wegen en Verkeer - AWV412
N0080001;31.56;31.6;-40;39.605;39.6;10;Agentschap Wegen en Verkeer - AWV415
N0080001;39.605;39.6;10;41.284;41.3;-28;Agentschap Wegen en Verkeer - AWV412
N0080001;41.284;41.3;-28;42.514;42.6;-81;Gemeente - GemeenteBrakel
N0080001;42.514;42.6;-81;64.458;64.4;38;Agentschap Wegen en Verkeer - AWV412
N0080001;64.458;64.4;38;77.116;77.1;15;Agentschap Wegen en Verkeer - AWV312
N0080001;77.116;77.1;15;82.02;82;24;Gemeente - GemeenteZwevegem
N0080001;82.02;82;24;84.91;84.9;10;Agentschap Wegen en Verkeer - AWV312
N0080001;87.697;87.7;0;105.816;105.8;22;Agentschap Wegen en Verkeer - AWV312
N0080001;105.816;105.8;22;113.65;113.6;42;Agentschap Wegen en Verkeer - AWV313
N0080001;113.65;113.6;42;117.616;117.7;-87;Gemeente - GemeenteIeper
N0080001;117.616;117.7;-87;149.177;149.2;-6;Agentschap Wegen en Verkeer - AWV313
N0080001;149.177;149.2;-6;152.502;152.5;7;Agentschap Wegen en Verkeer - AWV315
N0089031;0;0;0;1.755;1.7;51;Agentschap Wegen en Verkeer - AWV412
N0089051;0;0;0;0.854;0;854;Gemeente - GemeenteAvelgem
N0089061;0;0;-4;0.125;0.1;20;Agentschap Wegen en Verkeer - AWV312
N0089071;0.341;0.4;-45;1.846;1.8;49;Agentschap Wegen en Verkeer - AWV313
N0089071;1.846;1.8;49;2.254;1.8;457;Gemeente - GemeenteVeurne
N0089081;0;0;-2;1.769;1.1;641;Gemeente - GemeenteKoksijde
N0089091;0;0;0;0.068;0;68;Gemeente - GemeenteIeper
N0089101;0;0;0;0.699;0;699;Gemeente - GemeenteKoksijde
N0090001;0;4.6;-4607;4.567;4.6;-40;Brussels Gewest - Brussels Gewest
N0090001;4.567;4.6;-40;21.362;21.4;-38;Agentschap Wegen en Verkeer - AWV212
N0090001;21.362;21.4;-38;39.409;39.4;9;Agentschap Wegen en Verkeer - AWV415
N0090001;39.409;39.4;9;43.85;43.8;44;Agentschap Wegen en Verkeer - AWV414
N0090001;43.85;43.8;44;56.259;56.3;-43;Agentschap Wegen en Verkeer - AWV411
N0090001;56.259;56.3;-43;82.822;82.8;22;Agentschap Wegen en Verkeer - AWV413
N0090001;82.822;82.8;22;92.971;92.9;67;Agentschap Wegen en Verkeer - AWV311
N0090001;92.971;92.9;67;95.344;95.4;-51;Gemeente - GemeenteBrugge
N0090001;95.344;95.4;-51;106.409;106.4;13;Agentschap Wegen en Verkeer - AWV311
N0090001;106.409;106.4;13;116.652;116.6;55;Agentschap Wegen en Verkeer - AWV315
N0099021;0;0;-14;0.835;0.8;51;Agentschap Wegen en Verkeer - AWV212
N0099031;0;0;0;1.957;0;1957;Gemeente - GemeenteAsse
N0099041;0;0;0;2.218;0;2218;Gemeente - GemeenteMaldegem
N0099051;0;0;0;1.217;0;1217;Gemeente - GemeenteAsse
N0099061;0;0;0;0.817;0;817;Gemeente - GemeenteAsse
N0099071;0;0;-5;0.314;0.3;15;Agentschap Wegen en Verkeer - AWV311
N0099081;0;0;-2;0.16;0.1;64;Agentschap Wegen en Verkeer - AWV212
N0099091;0;0;0;0.522;0;522;Gemeente - GemeenteAsse
N0099101;0;0;0;0.693;0;693;Gemeente - GemeenteDilbeek
N0099111;0;0;-4;1.043;1;20;Agentschap Wegen en Verkeer - AWV212
N0099131;0;0;-2;0.495;0.49;1;Agentschap Wegen en Verkeer - AWV413
N0100001;0;0;-32;2.241;2.3;-54;Agentschap Wegen en Verkeer - AWV121
N0100001;2.241;2.3;-54;8.094;8;106;Agentschap Wegen en Verkeer - AWV123
N0100001;8.094;8;106;9.15;8;1162;Gemeente - GemeenteLier
N0100001;11.57;11.7;-139;11.592;11.7;-117;Agentschap Wegen en Verkeer - AWV112
N0100001;11.592;11.7;-117;17.229;17.2;41;Agentschap Wegen en Verkeer - AWV123
N0100001;17.229;17.2;41;28.874;28.9;-25;Agentschap Wegen en Verkeer - AWV112
N0100001;28.874;28.9;-25;49.046;49;78;Agentschap Wegen en Verkeer - AWV214
N0109011;0;0;0;0.323;0;323;Gemeente - GemeenteAarschot
N0110001;0;0;-9;11.009;10.9;94;Agentschap Wegen en Verkeer - AWV123
N0120001;0;1;-992;0.905;1;-87;Gemeente - GemeenteAntwerpen
N0120001;0.905;1;-87;5.98;6;-4;Agentschap Wegen en Verkeer - AWV121
N0120001;5.98;6;-4;28.961;29;-39;Agentschap Wegen en Verkeer - AWV123
N0120001;28.961;29;-39;56.6;56.5;90;Agentschap Wegen en Verkeer - AWV125
N0130001;0.367;0.4;-25;2.042;2;49;Agentschap Wegen en Verkeer - AWV123
N0130001;2.042;2;49;29.029;29;25;Agentschap Wegen en Verkeer - AWV114
N0140001;0;3;-2982;2.94;3;-42;Gemeente - GemeenteMechelen
N0140001;2.94;3;-42;9.408;9.4;8;Agentschap Wegen en Verkeer - AWV112
N0140001;9.408;9.4;8;13.583;13.4;192;Agentschap Wegen en Verkeer - AWV123
N0140001;13.583;13.4;192;14.952;13.4;1561;Gemeente - GemeenteLier
N0140001;17.035;17;4;40.576;40.6;-26;Agentschap Wegen en Verkeer - AWV123
N0140001;40.576;40.6;-26;61.959;61.9;4;Agentschap Wegen en Verkeer - AWV125
N0150001;0.275;0;0;24.899;24.9;2;Agentschap Wegen en Verkeer - AWV112
N0150001;24.899;24.9;2;32.886;32.8;88;Agentschap Wegen en Verkeer - AWV114
N0159011;0;0;0;2.282;2.3;-19;Gemeente - GemeenteMechelen
N0159011;2.282;2.3;-19;2.478;2.3;177;Agentschap Wegen en Verkeer - AWV112
N0160001;0;0;-21;0.062;0.1;-39;Agentschap Wegen en Verkeer - AWV112
N0160001;0.062;0.1;-39;0.963;1;-38;Gemeente - GemeenteMechelen
N0160001;0.963;1;-38;22.846;22.9;-39;Agentschap Wegen en Verkeer - AWV112
N0160001;22.846;22.9;-39;29.994;30;3;Agentschap Wegen en Verkeer - AWV414
N0160001;29.994;30;3;30.98;30;989;Gemeente - GemeenteSint-Niklaas
N0169011;0;0;0;3.131;0;3131;Gemeente - GemeenteMechelen
N0169021;0;0;-11;1.379;1.3;78;Agentschap Wegen en Verkeer - AWV112
N0169021;1.379;1.3;78;1.41;1.3;109;Gemeente - GemeenteMechelen
N0169031;0.002;0;-14;0.363;0.3;82;Agentschap Wegen en Verkeer - AWV112
N0169041;0;0;0;0.26;0;260;Gemeente - GemeenteMechelen
N0170001;0;0.1;-104;9.801;9.8;-12;Agentschap Wegen en Verkeer - AWV112
N0170001;9.801;9.8;-12;17.459;17.4;77;Agentschap Wegen en Verkeer - AWV415
N0179011;0;0;0;0.435;0;435;Gemeente - GemeenteDendermonde
N0180001;0;0;-32;9.558;9.5;58;Agentschap Wegen en Verkeer - AWV125
N0180001;9.558;9.5;58;10.863;10.9;-43;Gemeente - GemeenteRetie
N0180001;10.863;10.9;-43;15.549;15.5;45;Agentschap Wegen en Verkeer - AWV125
N0180001;15.549;15.5;45;20.5;20.4;85;Agentschap Wegen en Verkeer - AWV114
N0180001;21.31;21.4;-89;30.934;30.9;52;Agentschap Wegen en Verkeer - AWV114
N0180001;30.934;30.9;52;32.633;32.6;44;Agentschap Wegen en Verkeer - AWV717
N0190001;0;0.1;-142;6.691;6.6;93;Agentschap Wegen en Verkeer - AWV125
N0190001;6.691;6.6;93;10.498;8.2;2292;Gemeente - GemeenteKasterlee
N0190001;10.498;8.2;2292;16.4;8.2;8194;Gemeente - GemeenteGeel
N0190001;17.385;18.9;-1517;18.779;18.9;-123;Gemeente - GemeenteGeel
N0190001;18.779;18.9;-123;39.539;39.5;36;Agentschap Wegen en Verkeer - AWV114
N0190001;39.539;39.5;36;42.114;42;112;Agentschap Wegen en Verkeer - AWV214
N0190001;43.064;44.2;-1140;44.103;44.2;-101;Gemeente - GemeenteAarschot
N0190001;44.103;44.2;-101;48.008;48;7;Agentschap Wegen en Verkeer - AWV214
N0190001;48.008;48;7;58.383;58.3;77;Agentschap Wegen en Verkeer - AWV213
N0199041;0;0;0;0.64;0;640;Gemeente - GemeenteAarschot
N0199051;0;0;-15;0.413;0.4;0;Agentschap Wegen en Verkeer - AWV214
N0199061;0;0;0;0.149;0;149;Gemeente - GemeenteAarschot
N0199071;-0.1;0;-101;8.311;8.3;20;Agentschap Wegen en Verkeer - AWV125
N0200001;0;1.5;-1503;1.412;1.5;-91;Gemeente - GemeenteHasselt
N0200001;1.412;1.5;-91;6.037;6;22;Agentschap Wegen en Verkeer - AWV720
N0200001;6.037;6;22;24.383;24.3;80;Agentschap Wegen en Verkeer - AWV719
N0210001;0;6.4;-6400;6.355;6.4;-45;Brussels Gewest - Brussels Gewest
N0210001;6.355;6.4;-45;21.369;21.4;-34;Agentschap Wegen en Verkeer - AWV212
N0210001;21.369;21.4;-34;28.509;28.3;201;Agentschap Wegen en Verkeer - AWV213
N0210001;28.509;28.3;201;29.777;28.3;1469;Gemeente - GemeenteRotselaar
N0219011;0;0;0;0.807;0;807;Agentschap Wegen en Verkeer - AWV212
N0219021;0;0;0;0.69;0;690;Gemeente - GemeenteBegijnendijk
N0250001;0;0;-34;8.812;8.8;73;Agentschap Wegen en Verkeer - AWV213
N0260001;0;0.1;-102;8.057;8;60;Agentschap Wegen en Verkeer - AWV213
N0260001;8.057;8;60;11.655;11.7;-45;Agentschap Wegen en Verkeer - AWV212
N0260001;11.655;11.7;-45;16.917;16.9;27;Agentschap Wegen en Verkeer - AWV213
N0260001;16.917;16.9;27;21.155;21.1;57;Agentschap Wegen en Verkeer - AWV112
N0269011;0;0;0;0.678;0;678;Gemeente - GemeenteLeuven
N0280001;13.24;13.3;-61;15.892;15.8;86;Agentschap Wegen en Verkeer - AWV211
N0280001;15.892;15.8;86;18.279;18.3;-25;Gemeente - GemeenteHalle
N0280001;18.279;18.3;-25;32.484;32.5;-15;Agentschap Wegen en Verkeer - AWV211
N0280001;32.484;32.5;-15;40.577;40.5;78;Agentschap Wegen en Verkeer - AWV415
N0290001;52.337;52.4;-56;73.87;73.8;71;Agentschap Wegen en Verkeer - AWV214
N0290001;73.966;74;-32;82.119;82.1;19;Agentschap Wegen en Verkeer - AWV214
N0290001;82.119;82.1;19;87.787;87.7;90;Agentschap Wegen en Verkeer - AWV717
N0290001;87.787;87.7;90;87.9;87.7;203;Gemeente - GemeenteBeringen
N0299011;0;0;0;0.408;0;408;Gemeente - GemeenteBeringen
N0299011;0.52;0;520;1.1;0;1100;Gemeente - GemeenteBeringen
N0310001;0;0;0;19.455;19.4;57;Agentschap Wegen en Verkeer - AWV311
N0319011;0;0;-10;0.72;0.7;16;Agentschap Wegen en Verkeer - AWV311
N0319021;0.231;0.3;-84;0.63;0.6;30;Agentschap Wegen en Verkeer - AWV311
N0320001;0;0.5;-500;0.86;0.9;-38;Gemeente - GemeenteBrugge
N0320001;0.86;0.9;-38;14.897;14.9;8;Agentschap Wegen en Verkeer - AWV311
N0320001;14.897;14.9;8;17.216;17.2;13;Agentschap Wegen en Verkeer - AWV316
N0320001;17.216;17.2;13;20.177;20.2;-20;Gemeente - GemeenteTorhout
N0320001;20.177;20.2;-20;30.794;30.8;-15;Agentschap Wegen en Verkeer - AWV316
N0320001;30.794;30.8;-15;33.686;33.7;-10;Gemeente - GemeenteRoeselare
N0320001;33.686;33.7;-10;44.731;44.7;6;Agentschap Wegen en Verkeer - AWV316
N0320001;44.731;44.7;6;50.71;50.7;16;Agentschap Wegen en Verkeer - AWV312
N0329011;0;0;0;2.382;0;2382;Gemeente - GemeenteRoeselare
N0329021;0;0;0;3.963;0;3963;Gemeente - GemeenteMenen
N0329031;0;0;0;0.778;0.7;100;Agentschap Wegen en Verkeer - AWV312
N0329041;0;0;-11;1.411;1.4;10;Agentschap Wegen en Verkeer - AWV312
N0330001;0;2;-2005;1.951;2;-54;Gemeente - GemeenteOostende
N0330001;1.951;2;-54;21.166;21.2;-47;Agentschap Wegen en Verkeer - AWV315
N0330001;21.166;21.2;-47;24.176;24.1;77;Agentschap Wegen en Verkeer - AWV316
N0340001;0;0.2;-203;0.267;0.3;-36;Gemeente - GemeenteKnokke-Heist
N0340001;0.267;0.3;-36;12.685;12.7;-15;Agentschap Wegen en Verkeer - AWV311
N0340001;12.685;12.7;-15;13.812;13.9;-87;Gemeente - GemeenteBlankenberge
N0340001;13.812;13.9;-87;14.45;14.4;46;Agentschap Wegen en Verkeer - AWV311
N0340001;14.45;14.4;46;31.379;31.3;78;Agentschap Wegen en Verkeer - AWV315
N0340001;31.45;31.5;-51;32.214;32.2;22;Agentschap Wegen en Verkeer - AWV315
N0340001;32.214;32.2;22;32.29;32.2;98;Gemeente - GemeenteOostende
N0340001;32.97;33;-12;33.215;33.2;21;Agentschap Wegen en Verkeer - AWV315
N0340001;33.215;33.2;21;36.17;36.2;-36;Gemeente - GemeenteOostende
N0340001;36.17;36.2;-36;63.793;63.8;-4;Agentschap Wegen en Verkeer - AWV315
N0340001;63.793;63.8;-4;70.106;70.1;10;Agentschap Wegen en Verkeer - AWV313
N0349011;0;0;-17;1.854;1.8;46;Agentschap Wegen en Verkeer - AWV311
N0349021;0;0;0;0.506;0.5;14;Agentschap Wegen en Verkeer - AWV311
N0349031;0.017;0.1;-74;1.024;1;19;Agentschap Wegen en Verkeer - AWV311
N0349041;0;0;0;0.343;0;343;Gemeente - GemeenteBlankenberge
N0349061;0;0;0;0.316;0.3;20;Agentschap Wegen en Verkeer - AWV315
N0349071;0;0;-21;0.347;0.3;42;Agentschap Wegen en Verkeer - AWV315
N0349091;0;0;-17;0.617;0.6;26;Agentschap Wegen en Verkeer - AWV311
N0349251;0;0;-17;8.264;8.2;74;Agentschap Wegen en Verkeer - AWV315
N0349261;0;0;0;1.849;1.8;47;Agentschap Wegen en Verkeer - AWV315
N0350001;0;0;-10;2.545;2.5;46;Agentschap Wegen en Verkeer - AWV313
N0350001;2.545;2.5;46;3.148;3.1;48;Agentschap Wegen en Verkeer - AWV315
N0350001;3.148;3.1;48;5.695;5.6;98;Agentschap Wegen en Verkeer - AWV313
N0350001;5.695;5.6;98;6.299;6.3;-1;Gemeente - GemeenteVeurne
N0350001;6.299;6.3;-1;38.675;38.7;-25;Agentschap Wegen en Verkeer - AWV313
N0350001;38.675;38.7;-25;53.525;53.5;28;Agentschap Wegen en Verkeer - AWV316
N0350001;53.525;53.5;28;54.997;53.5;1500;Gemeente - GemeentePittem
N0350001;54.998;55;-7;62.355;62.4;-46;Agentschap Wegen en Verkeer - AWV316
N0350001;62.355;62.4;-46;72.545;72.5;43;Agentschap Wegen en Verkeer - AWV413
N0350001;72.545;72.5;43;78.77;78.7;70;Agentschap Wegen en Verkeer - AWV411
N0359021;0;0;-18;1.096;1;112;Agentschap Wegen en Verkeer - AWV316
N0359031;0;0;-15;1.507;1.5;2;Agentschap Wegen en Verkeer - AWV316
N0359051;0;0;0;0.293;0;293;Gemeente - GemeentePittem
N0359071;0;0;-29;1.524;1.5;21;Agentschap Wegen en Verkeer - AWV316
N0360001;0;0;-2;4.02;4;24;Agentschap Wegen en Verkeer - AWV313
N0360001;4.02;4;24;21.86;21.9;-40;Agentschap Wegen en Verkeer - AWV316
N0360001;21.86;21.9;-40;46.216;46.2;17;Agentschap Wegen en Verkeer - AWV312
N0360001;46.234;46.3;-61;54.657;54.7;-43;Agentschap Wegen en Verkeer - AWV412
N0360001;54.657;54.7;-43;55.416;55.3;110;Gemeente - GemeenteRonse
N0369011;0;0;0;1.907;0;1907;Gemeente - GemeenteRoeselare
N0369021;0;0;0;1.169;0;1169;Gemeente - GemeenteIzegem
N0369031;0;0;0;1.349;0;1349;Gemeente - GemeenteIzegem
N0369041;0;0;-18;1.851;1.8;47;Agentschap Wegen en Verkeer - AWV312
N0369041;1.851;1.8;47;3.229;3.2;27;Gemeente - GemeenteHarelbeke
N0369051;0;0;0;1.459;0;1459;Gemeente - GemeenteHarelbeke
N0369051;1.459;0;1459;3.964;0;3964;Gemeente - GemeenteDeerlijk
N0369061;0;0;-9;0.504;0.4;118;Agentschap Wegen en Verkeer - AWV412
N0369071;0;0;-7;0.371;0.3;64;Agentschap Wegen en Verkeer - AWV316
N0370001;0.04;0.1;-125;2.813;2.8;8;Agentschap Wegen en Verkeer - AWV413
N0370001;2.813;2.8;8;24.965;24.9;67;Agentschap Wegen en Verkeer - AWV316
N0370001;24.965;24.9;67;29.457;24.9;4559;Gemeente - GemeenteRoeselare
N0370001;29.457;24.9;4559;29.554;24.9;4656;Agentschap Wegen en Verkeer - AWV316
N0370001;29.554;24.9;4656;30.903;24.9;6005;Gemeente - GemeenteRoeselare
N0370001;42.266;42.3;-34;42.267;42.3;-33;Gemeente - GemeenteRoeselare
N0370001;42.267;42.3;-33;49.177;49.1;79;Agentschap Wegen en Verkeer - AWV313
N0379011;0.456;0.5;0;3.064;0.5;2608;Gemeente - GemeenteRuiselede
N0379021;0;0;0;1.469;1.4;65;Agentschap Wegen en Verkeer - AWV313
N0380001;0;0;-3;19.81;19.8;13;Agentschap Wegen en Verkeer - AWV313
N0390001;0;0;-2;7.906;7.9;5;Agentschap Wegen en Verkeer - AWV315
N0390001;7.906;7.9;5;17.158;17.1;55;Agentschap Wegen en Verkeer - AWV313
N0399011;0;0;0;1.813;0;1813;Gemeente - GemeenteKoksijde
N0410001;0;0.1;-105;3.395;3.3;75;Agentschap Wegen en Verkeer - AWV415
N0410001;10.864;10.9;-40;17.993;18;-1;Agentschap Wegen en Verkeer - AWV415
N0410001;17.993;18;-1;30.77;30.7;56;Agentschap Wegen en Verkeer - AWV414
N0420001;0;0;-12;1.708;1.7;-12;Agentschap Wegen en Verkeer - AWV414
N0420001;1.708;1.7;-12;15.468;15.4;73;Agentschap Wegen en Verkeer - AWV412
