ident8;begin.opschrift;begin.afstand;eind.opschrift;eind.afstand;gebied
A0011762;0.4;-13;0.4;26;Agentschap Wegen en Verkeer - AWV212
A0011771;0;0;0;171;Agentschap Wegen en Verkeer - AWV212
A0011772;0;0;0;171;Agentschap Wegen en Verkeer - AWV212
A0011781;0;0;0;326;Agentschap Wegen en Verkeer - AWV212
A0011782;0;0;0;326;Agentschap Wegen en Verkeer - AWV212
A0011791;0;0;0;347;Agentschap Wegen en Verkeer - AWV212
A0011792;0;0;0;347;Agentschap Wegen en Verkeer - AWV212
A0011811;0;-2;0.3;47;Agentschap Wegen en Verkeer - AWV123
A0011812;0;-2;0.3;47;Agentschap Wegen en Verkeer - AWV123
A0011821;0;-3;0.4;52;Agentschap Wegen en Verkeer - AWV123
A0011822;0;-3;0.4;52;Agentschap Wegen en Verkeer - AWV123
A0011831;0;0;0;43;Agentschap Wegen en Verkeer - AWV123
A0011832;0;0;0;43;Agentschap Wegen en Verkeer - AWV123
A0011851;0;-3;0.3;78;Agentschap Wegen en Verkeer - AWV123
A0011852;0;-3;0.3;78;Agentschap Wegen en Verkeer - AWV123
A0011861;0;1;0;30;Agentschap Wegen en Verkeer - AWV123
A0011862;0;1;0;30;Agentschap Wegen en Verkeer - AWV123
A0011881;0;0;0.3;53;Agentschap Wegen en Verkeer - AWV123
A0011882;0;0;0.3;53;Agentschap Wegen en Verkeer - AWV123
A0012011;0;-1;0.4;6;Agentschap Wegen en Verkeer - AWV123
A0012012;0;-1;0.4;6;Agentschap Wegen en Verkeer - AWV123
A0012061;0;-13;0.4;66;Agentschap Wegen en Verkeer - AWV123
A0012062;0;-13;0.4;66;Agentschap Wegen en Verkeer - AWV123
A0012091;0;-2;0;1;Agentschap Wegen en Verkeer - AWV123
A0012091;0;1;0;386;Agentschap Wegen en Verkeer - AWV123
A0012092;0;0;0;388;Agentschap Wegen en Verkeer - AWV123
A0014711;0;0;0.4;196;Agentschap Wegen en Verkeer - AWV121
A0014712;0;0;0.4;196;Agentschap Wegen en Verkeer - AWV121
A0015011;0;-9;0;679;Agentschap Wegen en Verkeer - AWV121
A0015012;0;-9;0;679;Agentschap Wegen en Verkeer - AWV121
A0015041;1.7;0;1.7;730;Agentschap Wegen en Verkeer - AWV212
A0015042;1.7;0;1.7;730;Agentschap Wegen en Verkeer - AWV212
A0015141;0;-10;0.8;51;Agentschap Wegen en Verkeer - AWV123
A0015142;0;-10;0.8;51;Agentschap Wegen en Verkeer - AWV123
A0015151;0;-20;0.9;63;Agentschap Wegen en Verkeer - AWV123
A0015152;0;-20;0.9;63;Agentschap Wegen en Verkeer - AWV123
A0015231;0;-11;0;131;Agentschap Wegen en Verkeer - AWV123
A0015232;0;-11;0;131;Agentschap Wegen en Verkeer - AWV123
A0015251;0;0;0;61;Gemeente - GemeenteBrecht
A0015252;0;0;0;61;Gemeente - GemeenteBrecht
A0015271;0;0;0;164;Gemeente - GemeenteBrecht
A0015272;0;0;0;164;Gemeente - GemeenteBrecht
A0015301;0;-28;0;245;Agentschap Wegen en Verkeer - AWV121
A0015302;0;-28;0;245;Agentschap Wegen en Verkeer - AWV121
A0015311;0;-19;0;246;Agentschap Wegen en Verkeer - AWV121
A0015312;0;-19;0;246;Agentschap Wegen en Verkeer - AWV121
A0015321;0.1;-117;0.1;80;Agentschap Wegen en Verkeer - AWV212
A0015322;0.1;-117;0.1;80;Agentschap Wegen en Verkeer - AWV212
A0015331;0;0;0;186;Agentschap Wegen en Verkeer - AWV212
A0015332;0;0;0;186;Agentschap Wegen en Verkeer - AWV212
A0015351;0;-1;0;82;Agentschap Wegen en Verkeer - AWV123
A0015352;0;-1;0;82;Agentschap Wegen en Verkeer - AWV123
A0017301;0;0;0;544;Gemeente - GemeenteMechelen
A0017302;0;0;0;544;Gemeente - GemeenteMechelen
A0017311;0;0;0;119;Gemeente - GemeenteMechelen
A0017312;0;0;0;119;Gemeente - GemeenteMechelen
A0017321;0;0;0;127;Gemeente - GemeenteMechelen
A0017322;0;0;0;127;Gemeente - GemeenteMechelen
A0017331;0;0;0;134;Gemeente - GemeenteMechelen
A0017332;0;0;0;134;Gemeente - GemeenteMechelen
